file,real_time,predicted_time,error,abs_error
05221541.mseed,30.799999952316284,30.423286,-0.37671351432800293,0.37671351432800293
12210818.mseed,30.0,30.376568,0.3765678405761719,0.3765678405761719
08072325.mseed,30.90000009536743,30.524975,-0.37502527236938477,0.37502527236938477
06050431.mseed,30.09999990463257,30.474602,0.3746018409729004,0.3746018409729004
02270341.mseed,30.09999990463257,30.474133,0.3741326332092285,0.3741326332092285
01170215.mseed,30.09999990463257,30.47238,0.37237977981567383,0.37237977981567383
02171756.mseed,30.799999952316284,30.430222,-0.3697783946990967,0.3697783946990967
04170319.mseed,30.09999990463257,30.464184,0.3641839027404785,0.3641839027404785
04301157.mseed,30.09999990463257,30.463339,0.3633389472961426,0.3633389472961426
05200258.mseed,30.09999990463257,30.462906,0.36290597915649414,0.36290597915649414
11201732.mseed,30.0,30.36113,0.3611297607421875,0.3611297607421875
06131100.mseed,30.09999990463257,30.460331,0.36033105850219727,0.36033105850219727
05031240.mseed,30.799999952316284,30.440804,-0.35919642448425293,0.35919642448425293
10251717.mseed,30.200000047683716,30.557083,0.3570830821990967,0.3570830821990967
02201251.mseed,30.799999952316284,30.444868,-0.3551318645477295,0.3551318645477295
05091808.mseed,30.700000047683716,30.346636,-0.3533642292022705,0.3533642292022705
05061333.mseed,30.59999990463257,30.249836,-0.35016393661499023,0.35016393661499023
09290250.mseed,30.799999952316284,30.450706,-0.34929347038269043,0.34929347038269043
09250924.mseed,30.0,30.347736,0.3477363586425781,0.3477363586425781
08070619.mseed,30.90000009536743,30.552458,-0.34754228591918945,0.34754228591918945
06072043.mseed,30.200000047683716,30.545261,0.3452613353729248,0.3452613353729248
04300521.mseed,30.799999952316284,30.455486,-0.3445136547088623,0.3445136547088623
11071921.mseed,30.700000047683716,30.355862,-0.34413838386535645,0.34413838386535645
08310121.mseed,30.09999990463257,30.443903,0.3439030647277832,0.3439030647277832
01080344.mseed,30.799999952316284,30.456406,-0.3435943126678467,0.3435943126678467
04292243.mseed,30.90000009536743,30.55959,-0.3404107093811035,0.3404107093811035
04160730.mseed,30.5,30.159603,-0.3403968811035156,0.3403968811035156
12211834.mseed,30.09999990463257,30.438412,0.338411808013916,0.338411808013916
01312047.mseed,30.09999990463257,30.438332,0.3383316993713379,0.3383316993713379
12271328.mseed,30.90000009536743,30.562363,-0.33763742446899414,0.33763742446899414
04301720.mseed,30.09999990463257,30.436852,0.3368515968322754,0.3368515968322754
02180047.mseed,30.799999952316284,30.464687,-0.3353126049041748,0.3353126049041748
01052039.mseed,30.09999990463257,30.435131,0.3351311683654785,0.3351311683654785
01112206.mseed,30.200000047683716,30.535095,0.3350951671600342,0.3350951671600342
